Provider Name,State,City,Claims_Paid_for_Testing,Claims_Paid_for_Treatment,Georeferenced Column
ADVENTHEALTH POLK NORT,FL,DAVENPORT,12061.49,332.71,POINT (-81.59407 28.162517)
MONTEFIORE MEDICAL CEN,NY,BRONX,356.67,606.17,POINT (-73.920265 40.826153)
SAINT ALEXIUS MEDICAL,ND,BISMARCK,734.75,0,POINT (-100.781609 46.80537)
BON SECOURS MEMORIAL R,VA,MECHANICSVILLE,7241.44,13749.05,POINT (-77.368281 37.601112)
CARROLL COUNTY ANESTHE,MD,WESTMINSTER,0,159.38,POINT (-76.99604 39.575232)
LINDSBORG COMMUNITY HO,KS,LINDSBORG,3005.32,0,POINT (-97.675893 38.575065)
CLINICAS DE SALUD DEL,CA,BLYTHE,730.45,106.08,POINT (-114.59682699999999 33.610437)
ESSEN MEDICAL ASSOCIAT,NY,BRONX,263.24,1007.87,POINT (-73.920265 40.826153)
THE DANBURY HOSPITAL,NY,NEW YORK,0,556.29,POINT (-74.007228 40.713054)
PATIENT FIRST,VA,CHESAPEAKE,459.90,0,POINT (-76.249925 36.71461)
WAR MEMORIAL HOSPITAL,WV,BERKELEY SPRINGS,1105.50,0,POINT (-78.227501 39.6269)
DEKALB MEDICAL CENTER,GA,LITHONIA,25046.86,121733.48,POINT (-84.105776 33.712085)
SHACKELFORD COUNTY COM,TX,ALBANY,88.57,0,POINT (-99.294683 32.726424)
BAPTIST HEALTH MEDICAL,AR,ARKADELPHIA,5408.94,240.00,POINT (-93.053523 34.120959)
YAZOO EMERGENCY GROUP,MS,YAZOO CITY,177.31,810.85,POINT (-90.41366 32.847265)
PATIENT FIRST,VA,CHESTER,1426.53,0,POINT (-77.441974 37.357547)
WELLMONT HEALTH SYSTEM,VA,BIG STONE GAP,1423.27,0,POINT (-82.778625 36.864136)
TRUSTEES OF COLUMBIA U,NY,NEW YORK,0,1106.53,POINT (-74.007228 40.713054)
NOVANT HEALTH FORSYTH,NC,YADKINVILLE,850.80,407.82,POINT (-80.659648 36.134498)
ANGELINA EMERGENCY MED,TX,LUFKIN,0,637.69,POINT (-94.727903 31.332913)
VIRTUA MEDICAL GROUP,NJ,SEWELL,0,130.11,POINT (-75.144699 39.766399)
MERCY CLINIC OKLAHOMA,OK,OKARCHE,88.73,0,POINT (-97.976724 35.729297)
UNMC PHYSICIANS CORPOR,NE,OMAHA,85.94,41.59,POINT (-95.937195 41.258652)
FRANCISCAN PHYSICIAN N,IL,MATTESON,0,55.80,POINT (-87.713101 41.50078)
FAMILY CARE NETWORK,WA,BELLINGHAM,169.91,0,POINT (-122.478122 48.754899)
SPECIALTY PHYSICIANS O,IL,OLYMPIA FIELDS,0,11950.63,POINT (-87.708414 41.513501000000005)
CENTRAL MAINE MEDICAL,ME,LEWISTON,0,220.44,POINT (-70.214978 44.100658)
MOREHOUSE COMMUNITY ME,LA,BASTROP,4929.94,1100.17,POINT (-91.910257 32.777321)
PALACIOS COMMUNITY MED,TX,PALACIOS,2900.48,0,POINT (-96.211967 28.701459000000003)
GEORGIA INFECTIOUS DIS,GA,ATLANTA,0,4173.66,POINT (-84.391502 33.748547)
ST FRANCIS HOUSE NWA I,AR,ROGERS,1913.52,0,POINT (-94.12568 36.333493)
WESTERN CONNECTICUT ME,CT,RIDGEFIELD,69.50,490.30,POINT (-73.49843 41.281456000000006)
TRINITY REGIONAL MEDIC,IA,EAGLE GROVE,60.29,0,POINT (-93.904497 42.664076)
SOUTHEAST CLINICAL LAB,AL,BIRMINGHAM,2602.66,0,POINT (-86.807705 33.522859)
PACIFIC PULMONARY MEDI,CA,RIVERSIDE,0,9850.52,POINT (-117.37702499999999 33.980534)
UCHEALTH MEDICAL GROUP,CO,FORT COLLINS,95.12,0,POINT (-105.082459 40.588972)
WARREN CLINIC INC,OK,SAND SPRINGS,51.40,0,POINT (-96.10888 36.138456)
EAST COUNTY URGENT CAR,CA,EL CAJON,335.24,180.96,POINT (-116.962303 32.797484)
EMERGENCY PHYSICIANS O,IN,MOORESVILLE,3805.93,3460.38,POINT (-86.374876 39.612763)
LUCAS COUNTY HEALTH CE,IA,CHARITON,613.46,50.00,POINT (-93.303492 41.014443)
MCHS ALBERT LEA,MN,AUSTIN,0,125.43,POINT (-92.974829 43.670395)
NYPMG WESTCHESTER,NY,BRONX,644.81,180.72,POINT (-73.920265 40.826153)
BLUEGRASS COMMUNITY HE,KY,LEXINGTON,299.67,0,POINT (-84.497021 38.046356)
SENTARA MEDICAL GROUP,VA,VIRGINIA BEACH,76.59,51.16,POINT (-75.975518 36.845117)
ALLIANCE MEDICAL GOUP,ID,NAMPA,17887.66,1400.55,POINT (-116.57358100000002 43.585322)
OLYMPIC AMBULANCE SERV,WA,SEQUIM,0,3595.39,POINT (-123.107685 48.077843)
MONTEFIORE MEDICAL CEN,NY,YONKERS,674.62,89.99,POINT (-73.896052 40.932014)
TRISTAR BONE MARROW TR,TN,NASHVILLE,0,1891.82,POINT (-86.779932 36.166687)
DEGARA APP PLLC,MI,LANSING,131.02,0,POINT (-84.553927 42.733625)
IOWA PHYSICIANS CLINIC,IA,HIAWATHA,62.86,0,POINT (-91.671159 42.03703000000001)
METHODIST ASSOCIATES I,PA,PHILADELPHIA,0,338.58,POINT (-75.16562 39.951061)
NYPMG WESTCHESTER,NY,SCARSDALE,65.67,488.26,POINT (-73.796583 40.988732)
ADVANTAGECARE PHYSICAN,NY,NEW YORK,0,87.76,POINT (-74.007228 40.713054)
BROAD RIVER PHYSICIANS,SC,COLUMBIA,3667.50,347.10,POINT (-81.037094 34.009286)
MOSAIC LIFE CARE OF ST,KS,TROY,102.66,0,POINT (-95.089646 39.789898)
KEYSTONE RURAL HEALTH,PA,CHAMBERSBURG,0,1044.34,POINT (-77.659708 39.937306)
UCLA DEPARTMENT OF MED,CA,WOODLAND HILLS,445.63,0,POINT (-118.60500299999998 34.168301)
Providence Regional Me,WA,EVERETT,26769.71,149665.71,POINT (-122.195893 47.97913)
SOUTHEASTERN REGIONAL,NC,SAINT PAULS,284.47,195.17,POINT (-78.975862 34.808293)
COMPLETECARE HEALTH NE,NJ,GLASSBORO,2755.94,0,POINT (-75.111957 39.702773)
CENTRAL IOWA HOSPITAL,IA,DES MOINES,2272.97,5171.17,POINT (-93.620309 41.588822)
MAN O WAR URGENT CARE,KY,LEXINGTON,7938.57,347.57,POINT (-84.497021 38.046356)
CAROLINA DERMATOLOGY,SC,GREENVILLE,1336.20,12269.39,POINT (-82.398964 34.850746)
DEAN CLINIC,WI,MADISON,197.58,51.33,POINT (-89.385244 43.073926)
HACKENSACK UNIVERSITY,NJ,BRICK,0,505953.51,POINT (-74.153109 40.074835)
VIRGINIA GARCIA MEMORI,OR,CORNELIUS,642.75,158.38,POINT (-123.05951800000001 45.520078)
HEALTH TEXAS PROVIDER,TX,FRISCO,50.00,0,POINT (-96.825082 33.15066)
DAHL MEMORIAL CLINIC,AK,SKAGWAY,70.38,0,POINT (-135.312031 59.458572999999994)
LEHIGH VALLEY PHYSICIA,PA,BETHLEHEM,7937.82,5966.42,POINT (-75.407938 40.632222)
PARK RIDGE HOME HEALTH,NC,BLACK MOUNTAIN,105.81,0,POINT (-82.319741 35.618768)
PRIVIA MEDICAL GROUP,DC,WASHINGTON,3734.82,342.62,POINT (-77.019912 38.892062)
MAYO CLINIC HEATLTH SY,WI,LA CROSSE,10962.47,472.12,POINT (-91.25186 43.808767)
INTEGRATED CELLULAR AN,MD,GREENBELT,4600.00,200.00,POINT (-76.875671 39.004612)
DLP HAYWOOD REGIONAL M,NC,CLYDE,1118.82,0,POINT (-82.91114 35.53289)
GRACE HEALTH,MI,BATTLE CREEK,1914.41,1593.22,POINT (-85.182454 42.31918)
The Carle Foundation H,IL,URBANA,8640.76,79597.54,POINT (-88.207457 40.112458)
INTEGRIS MEDICAL GROUP,OK,OKLAHOMA CITY,5970.20,2757.16,POINT (-97.521264 35.468494)
FLORIDA HOSPITAL ZEPHY,FL,ZEPHYRHILLS,0,7488.15,POINT (-82.179884 28.236534)
EMERGENCY MEDICINE PRO,FL,PALM COAST,6530.83,411.20,POINT (-81.214912 29.582246999999995)
CHATUGE REGIONAL HOSPI,GA,HIAWASSEE,563.04,0,POINT (-83.757473 34.948965)
SEA MAR COMMUNITY HEAL,WA,BURIEN,566.23,1283.19,POINT (-122.34722 47.466748)
ST ELIZABETH PHYSICIAN,KY,HEBRON,70.82,0,POINT (-84.70313200000001 39.06615800000001)
HAZLETON PROFESSIONAL,PA,HAZLETON,226.56,735.64,POINT (-75.974446 40.960001)
DOCTORS CARE PA,SC,FLORENCE,448.00,0,POINT (-79.761968 34.195772)
FAMILY MEDICINE SPECIA,IL,ROUND LAKE BEACH,7013.39,4725.01,POINT (-88.089736 42.37894)
COVENANT CLINIC,IA,CEDAR FALLS,1257.89,1307.84,POINT (-92.4534 42.537809)
OSWEGO HOSPITAL,NY,OSWEGO,1180.59,0,POINT (-76.507694 43.457605)
GREENE COUNTY HEALTH C,NC,SNOW HILL,861.60,0,POINT (-77.670515 35.455536)
NORTHSIDE PRIMARY CARE,GA,ROSWELL,52.29,0,POINT (-84.361671 34.021654)
ALBANY MEDICAL CENTER,NY,ALBANY,1324.57,204.82,POINT (-73.755418 42.651242)
ST CATHERINE HOSPITAL,KS,GARDEN CITY,0,174.03,POINT (-100.85864600000001 37.974981)
PALMETTO HEALTH USC ME,SC,SUMTER,0,76.54,POINT (-80.367464 33.930281)
BRAZOSPORT REGIONAL HL,TX,LAKE JACKSON,5391.64,13960.15,POINT (-95.448867 29.036192)
SOUTHWEST SUFFOLK,NY,ROSLYN,0,6363.08,POINT (-73.650719 40.799904)
EL CENTRO DEL BARRIO,TX,SAN ANTONIO,157.76,0,POINT (-98.494599 29.425172999999997)
MEDAMERICA PHYSICIAN S,AZ,SUN CITY WEST,6839.83,1516.93,POINT (-112.350925 33.656937)
NOVANT MEDICAL GROUP,NC,SOUTHPORT,132.63,0,POINT (-78.020868 33.924004)
LAKE CHARLES MEMORIAL,LA,LAKE CHARLES,9268.96,14734.40,POINT (-93.217112 30.229289)
VIRTUA MEDICAL GROUP,NJ,MAPLE SHADE,0,55.14,POINT (-75.001863 39.955381)
BUCKS COUNTY RESCUE SQ,PA,BRISTOL,0,489.68,POINT (-74.858302 40.095744)
HOLY FAMILY MEMORIAL I,WI,MANITOWOC,278.52,0,POINT (-87.657795 44.088844)
CAREFLITE,TX,GRAND PRAIRIE,0,1025.51,POINT (-97.003529 32.745496)
NATIONAL MEDICAL PROFE,TX,CARROLLTON,3908.69,3002.74,POINT (-96.889788 32.975541)
PROVIDENCE MEDICAL GRO,ID,LEWISTON,0,7.52,POINT (-117.019012 46.419101)
FAMILY HEALTH CENTERS,MD,BALTIMORE,727.38,300.20,POINT (-76.612333 39.290443)
SMH PHYSICIAN NETWORK,LA,SLIDELL,72.25,3086.47,POINT (-89.779372 30.278641)
HEYWOOD MEDICAL GROUP,MA,ASHBURNHAM,97.61,0,POINT (-71.90979 42.63576)
PIONEER HEALTH CARE,MS,HATTIESBURG,2159.86,0,POINT (-89.289635 31.326447)
ST LUKES HOSPITAL,MO,CHESTERFIELD,251.33,0,POINT (-90.564272 38.661405)
PALMS MEDICAL GROUP,FL,BELL,486.70,0,POINT (-82.863498 29.753999)
NORTH COLORADO MEDICAL,CO,GREELEY,33327.21,546457.11,POINT (-104.694445 40.422554000000005)
PACIFIC MEDICAL CENTER,WA,KIRKLAND,0,51.07,POINT (-122.20336400000001 47.675506)
NORTH SHORE LIJ,NY,NEW YORK,0,704.31,POINT (-74.007228 40.713054)
SWEDISH COVENANT HOSPI,IL,CHICAGO,461.66,121007.07,POINT (-87.632398 41.88322900000001)
UNIVERSITY OF TEXAS RI,TX,EDINBURG,164837.11,11716.00,POINT (-98.162704 26.299359)
CLEVELAND COUNTY HEALT,NC,SHELBY,482.23,0,POINT (-81.540219 35.29193)
MERITER HOSPITAL UNITY,WI,MONONA,97.27,0,POINT (-89.32542700000002 43.054688)
CARROLLTON EMERGENCY P,GA,BREMEN,744.10,0,POINT (-85.145675 33.720842)
PHOEBE CANCER CENTER P,GA,CORDELE,525.81,1765.95,POINT (-83.782663 31.969116)
CPA LAB,KY,LOUISVILLE,3305.32,0,POINT (-85.751569 38.256078)
KENNEDY MEDICAL GROUP,NJ,DELRAN,84.85,0,POINT (-74.961169 40.012551)
ST VINCENTS AMBULATORY,FL,HILLIARD,260.95,0,POINT (-81.915695 30.690477)
PRIVIA MEDICAL GROUP,VA,FOREST,23.27,0,POINT (-79.274718 37.354998)
COMMUNITY HEALTH CARE,WA,TACOMA,1144.61,471.48,POINT (-122.44153000000001 47.25308)
PHYSICIAN NOW LLC,KS,SHAWNEE,224.29,0,POINT (-94.714578 39.022924)
NORTHERN MEDICAL GROUP,NY,MAHOPAC,83.00,268.08,POINT (-73.73371 41.372514)
IOANA CARABIN MD PA,FL,KEY WEST,163.52,0,POINT (-81.783642 24.559703)
FLOYD VALLEY HOSPITAL,IA,LE MARS,0,891.08,POINT (-96.173749 42.788178)
USA HEALTH PHYSICIAN B,AL,MOBILE,3745.53,3956.97,POINT (-88.044822 30.688943)
VIRTUAL RADIOLOGIC PRO,NV,RENO,78.93,374.43,POINT (-119.81328300000001 39.526903)
RAINY LAKE MEDICAL CEN,MN,INTERNATIONAL FALLS,178.56,97.54,POINT (-93.415815 48.600947)
PRINCETON HEALTHCARE A,PA,PHILADELPHIA,0,608.63,POINT (-75.16562 39.951061)
SE EMERGENCY PHYSICIAN,TN,NASHVILLE,1152.56,1188.77,POINT (-86.779932 36.166687)
COMMUNITY HEALTHCARE N,NY,NEW YORK,271.97,0,POINT (-74.007228 40.713054)
AURORA HEALTH CARE,WI,MILWAUKEE,45603.29,265007.33,POINT (-87.909421 43.041072)
MAYO CLINIC HLTH SYST,MN,LAKE CITY,3765.78,0,POINT (-92.28978 44.465511)
CLINICAL CARE ASSOCIAT,PA,PHILADELPHIA,0,139.66,POINT (-75.16562 39.951061)
PRACTICE ASSOCIATES ME,NJ,HACKETTSTOWN,0,156.49,POINT (-74.827567 40.852269)
INMAN MEDICAL ASSOCIAT,NJ,COLONIA,0,10745.82,POINT (-74.315361 40.586414)
GREEN BAY EMERGENCY PH,WI,THIENSVILLE,1958.83,0,POINT (-87.979054 43.234785)
CARDIAC EKG INTERPRETA,NY,WEST ISLIP,0,49.55,POINT (-73.306541 40.706256)
4M EMERGENCY SYSTEMS T,OH,WARREN,296.31,0,POINT (-80.816186 41.236121)
WELLSTAR MARIETTA INTE,GA,ATLANTA,0,2291.92,POINT (-84.391502 33.748547)
UNIVERSITY OF MISSISSI,MS,GRENADA,583.99,146.09,POINT (-89.807652 33.769066)
ST FRANCIS HOSPITAL IN,DE,WILMINGTON,36470.79,236786.43,POINT (-75.5451 39.744432)
BURKE MEDICAL CENTER,GA,WAYNESBORO,0,14795.77,POINT (-82.015848 33.09004)
PRATT MEDICAL GROUP IN,MA,BOSTON,0,4632.24,POINT (-71.056742 42.358894)
APP OF TENNESSEE HM PL,TN,CLEVELAND,0,205.81,POINT (-84.8755 35.159867)
SUDHEER K SANKAR MD PA,TX,HOUSTON,0,5208.66,POINT (-95.369506 29.760803)
MAYO CLINIC HEALTH SYS,WI,BARRON,11083.48,302.47,POINT (-91.841623 45.401287)
VITUITY NEVADA KOURY A,NV,HENDERSON,11490.88,1123.91,POINT (-114.98445500000001 36.034095)
UCHEALTH MEDICAL GROUP,TX,DALLAS,0,140.90,POINT (-96.796215 32.777977)
DIAGNOSTIC RADIOLOGY A,CT,WATERBURY,0,750.49,POINT (-73.043069 41.554261)
WARREN CLINIC INC,OK,TULSA,18.29,204.30,POINT (-95.992083 36.155327)
ORANGE URGENT CARE PLL,NY,MIDDLETOWN,4951.93,84.63,POINT (-74.420024 41.445053)
CHILDRENS HOSPITAL,CO,AURORA,341.24,0,POINT (-104.819356 39.71121300000001)
SANFORD HEALTH NETWORK,ND,MAYVILLE,1381.77,0,POINT (-97.324384 47.498067)
MERCY HEALTH PARTNERS,MI,SHELBY,496.64,0,POINT (-86.363417 43.609088)
UNIVERSITY HOSPITALS L,OH,CLEVELAND,5788.93,1283.25,POINT (-81.6915 41.505546)
FRANCISCAN PHYSICIAN N,IN,DYER,2321.49,21446.75,POINT (-87.517108 41.493685)
RADIOLOGIC ASSOCIATES,NY,HARRIS,0,19.84,POINT (-74.7267 41.714199)
INOVA HEALTH CARE SERV,VA,PURCELLVILLE,6601.08,2911.20,POINT (-77.71450200000001 39.13674)
MONTGOMERY EMERGENCY G,GA,VIDALIA,182.62,182.62,POINT (-82.412445 32.218842)
INOVA PHYSICIAN PARTNE,VA,ARLINGTON,178.72,0,POINT (-77.084755 38.890763)
NORTHEAST GEORGIA PHYS,GA,ATLANTA,45682.68,23426.62,POINT (-84.391502 33.748547)
ESSENTIA HEALTH WEST,ND,FARGO,720.35,92.13,POINT (-96.784636 46.87696)
SETON MEDICAL CENTER,CA,DALY CITY,1949.51,1005.95,POINT (-122.47222100000002 37.691113)
LEXINGTON MEDICAL CENT,SC,LEXINGTON,2335.38,226.03,POINT (-81.238363 33.981298)
NORTHWEST EMERGENCY PH,WA,RICHLAND,304.05,0,POINT (-119.273684 46.280452)
CAPITAL HEALTH ADVANCE,NJ,PENNINGTON,0,634.15,POINT (-74.791062 40.328088)
FRANCISCAN PHYSICIAN N,IN,INDIANAPOLIS,131.42,1163.50,POINT (-86.156212 39.76845)
EMERGENCY ASSOCIATES O,NJ,TINTON FALLS,315.55,0,POINT (-74.098195 40.302745)
FGH TRAUMA SURGERY CLI,MS,HATTIESBURG,41.74,0,POINT (-89.289635 31.326447)
JAMI GRAY,SC,LITTLE RIVER,10502.92,0,POINT (-78.626569 33.870387)
UPMC COMMUNITY MEDICIN,PA,TRAFFORD,78.91,0,POINT (-79.768027 40.382667)
FORDLAND CLINIC INC,MO,FORDLAND,292.11,0,POINT (-92.940169 37.157473)
BAY COUNTY BOARD OF CO,FL,PANAMA CITY,0,971.84,POINT (-85.73078000000001 30.185159)
PHOEBE EMERGENCY PHYSI,LA,DONALDSONVILLE,66.33,177.75,POINT (-90.994119 30.101120999999996)
UMASS MEMORIAL MEDICAL,MA,WORCESTER,8699.68,5085.57,POINT (-71.802278 42.262073)
VIRTUAL RADIOLOGIC PRO,PA,LANSDALE,21.48,0,POINT (-75.28374 40.241561)
BAYLOR MEDICAL CENTER,TX,MCKINNEY,10779.29,13569.74,POINT (-96.615024 33.197963)
JAMI GRAY,SC,MYRTLE BEACH,990.98,0,POINT (-78.883852 33.68785)
LA CLINICA DE LOS CAMP,WI,WAUTOMA,9812.93,0,POINT (-89.287844 44.074647)
TRUSTEES OF COLUMBIA U,NY,WHITE PLAINS,0,165.07,POINT (-73.76666900000001 41.032587)
APEX EMERGENCY MEDICAL,CA,HEMET,6888.71,0,POINT (-116.967316 33.747562)
J C LEWIS PRIMARY HEAL,GA,SAVANNAH,7026.55,13286.85,POINT (-81.09010300000001 32.08059)
Vassar Brothers Medica,NY,POUGHKEEPSIE,1179.15,48024.56,POINT (-73.921694 41.699322)
PRESENCE HEALTHCARE SE,IL,ELGIN,0,429.70,POINT (-88.283975 42.039567)
TRIHEALTH,OH,CINCINNATI,212.36,77.06,POINT (-84.513808 39.104427)
TEXAS HEALTH PRESBYTER,TX,DENTON,0,104496.12,POINT (-97.13245 33.215533)
Akron General Medical,OH,AKRON,19667.40,42320.19,POINT (-81.515607 41.084821)
NORTH MEMORIAL AMBULAN,MN,MINNEAPOLIS,75.63,7013.43,POINT (-93.264346 44.977479)
TULSA EMERGENCY MED CE,OK,SKIATOOK,103.94,0,POINT (-96.000079 36.368559)
DOCTOR EXPRESS,PA,DOWNINGTOWN,6508.83,247.39,POINT (-75.705961 40.005305)
PRATT FAMILY PRACTICE,KS,PRATT,129.26,0,POINT (-98.739436 37.64603)
INTEGRIS MEDICAL GROUP,OK,OKLAHOMA CITY,114.17,2649.33,POINT (-97.521264 35.468494)
DR IV SINGH,TX,FORT WORTH,0,3378.52,POINT (-97.340038 32.739977)
COVENANT CLINIC,IA,WATERLOO,885.17,144.04,POINT (-92.34364 42.493469)
KALKASKA MEMORIAL HEAL,MI,KALKASKA,1705.67,0,POINT (-85.172346 44.733364)
PRIVIA MEDICAL GROUP,VA,MANASSAS,233.03,51.92,POINT (-77.475089 38.750771)
MOUNT SINAI HOSPITAL,NY,NEW YORK,22733.79,6640.61,POINT (-74.007228 40.713054)
FLORIDA CLINICAL PRACT,FL,OLD TOWN,0,109.18,POINT (-82.981903 29.601101)
EBD BEMC BURLESON LLC,TX,BURLESON,745.90,0,POINT (-97.327316 32.545038)
GORDON HOME CARE,GA,CALHOUN,4223.06,0,POINT (-84.951288 34.502547)
VIRGINIA URGENT CARE L,VA,FREDERICKSBURG,7150.39,1055.96,POINT (-77.460658 38.303297)
AHS HOSPITAL CORP,NJ,HACKETTSTOWN,3684.02,95418.46,POINT (-74.827567 40.852269)
ANMED HEALTH,SC,ANDERSON,53.00,13273.49,POINT (-82.651189 34.49987)
ADVANTAGECARE PHYSICAN,NY,STATEN ISLAND,268.73,0,POINT (-74.076203 40.643498)
ARKANSAS HEALTH GROUP,AR,NORTH LITTLE ROCK,0,633.63,POINT (-92.267774 34.756059)
NOVANT HEALTH FORSYTH,NC,LEXINGTON,166.00,54.00,POINT (-80.26417300000001 35.814262)
MOSES CONE PHYSICIANS,NC,GREENSBORO,0,71.42,POINT (-79.793899 36.072701)
GASTROENTEROLOGY ASSOC,NJ,CLIFTON,0,4173.82,POINT (-74.160996 40.865418)
PRESBYTERIAN HOME HEAL,NM,ALBUQUERQUE,1741.46,37.47,POINT (-106.649241 35.084248)
VNA HEALTH CARE,IL,AURORA,37720.28,31333.15,POINT (-88.309507 41.75527)
BORGESS MEDICAL GROUP,MI,STURGIS,535.55,0,POINT (-85.418699 41.799278)
LEHIGH VALLEY PHYSICIA,PA,ALLENTOWN,2032.68,932.98,POINT (-75.469759 40.602753)
INTERMOUNTAIN HEALTHCA,UT,SAINT GEORGE,53301.04,185321.03,POINT (-113.583277 37.108284)
RIVER HOSPITAL INC,NY,ALEXANDRIA BAY,1256.94,0,POINT (-75.91899 44.336841)
BANNER PRIMARY CARE PH,AZ,PHOENIX,0,74.21,POINT (-112.072585 33.448204)
FRANCISCAN PHYSICIAN N,IN,MICHIGAN CITY,175.33,9249.86,POINT (-86.901439 41.719785)
NUVIEW TELEHEALTH LLC,FL,CORAL SPRINGS,0,3215.73,POINT (-80.254183 26.27251)
DLP HARRIS REGIONAL ME,NC,SYLVA,5371.92,329.74,POINT (-83.224724 35.373647)
VANDERBILT UNIVERSITY,TN,NASHVILLE,3078.60,236.20,POINT (-86.779932 36.166687)
GASTON FAMILY HEALTH S,NC,CHERRYVILLE,18.88,0,POINT (-81.380745 35.381771)
HEARTLAND INTERNATIONA,IL,CHICAGO,5699.26,98.06,POINT (-87.632398 41.88322900000001)
CAREMOUNT MEDICAL PC,NY,FISHKILL,106.20,0,POINT (-73.905178 41.533655)
UES GENEVA LLC,OH,GENEVA,472.36,0,POINT (-80.946036 41.805864)
ESSEN MEDICAL ASSOCIAT,NY,BROOKLYN,179.98,0,POINT (-73.990996 40.692529)
BONNER GENERAL HOSPITA,MT,NOXON,16.46,0,POINT (-115.77197 47.993091)
WELLMONT MEDICAL ASSOC,TN,KINGSPORT,860.70,0,POINT (-82.540855 36.538956)
DOCTORS HOSPITAL TIDWE,TX,HOUSTON,2815217.76,1412399.92,POINT (-95.369506 29.760803)
CLINICAL PATHOLOGY LAB,LA,MARRERO,3064180.96,332426.87,POINT (-90.113961 29.889449000000003)
ELLIOT PHYSICIANS NETW,NH,ALLENSTOWN,112.57,0,POINT (-71.405913 43.159347000000004)
PARKWEST MEDICAL CENTE,TN,KNOXVILLE,211.08,1105.68,POINT (-83.916677 35.962631)
EAST COOPER PHYSICIAN,SC,MOUNT PLEASANT,71.51,0,POINT (-79.8765 32.790438)
MAROON BELLS EMERGENCY,GA,SNELLVILLE,1360.45,177.09,POINT (-84.020116 33.85751)
BELLIN MEMORIAL HOSPIT,WI,GREEN BAY,0,2555.04,POINT (-88.013256 44.513288)
TOTAL ACCESS URGENT CA,MO,SAINT LOUIS,12304.05,483.11,POINT (-90.200309 38.630276)
AVERA MCKENNAN,SD,ABERDEEN,0,286.28,POINT (-98.488057 45.465163)
EAST CAROLINE HEALTH B,NC,WINDSOR,8328.59,1891.26,POINT (-76.946373 35.998416)
ANMED HEALTH,SC,ANDERSON,116.46,0,POINT (-82.651189 34.49987)
HEALTH TEXAS PROVIDER,TX,IRVING,298.81,4750.66,POINT (-96.949933 32.813879)
UNIVERSITY PHYSICIANS,NY,NEW YORK,0,245.42,POINT (-74.007228 40.713054)
SOUTH SHORE MEDICAL CE,MA,QUINCY,82.46,62.00,POINT (-71.003564 42.25126900000001)
FORT PAYNE HOSPITAL CO,AL,FORT PAYNE,0,11727.76,POINT (-85.722603 34.441059)
UMG HOSPITALIST GROUP,GA,AUGUSTA,0,281.22,POINT (-81.964397 33.472494)
STEWARD SHARON REGIONA,PA,SHARON,2867.10,0,POINT (-80.495345 41.233012)
LOYOLA UNIVERSITY MEDI,IL,MAYWOOD,11313.21,1468508.16,POINT (-87.839146 41.886254)
MH MISSION HOSPITAL,NC,ASHEVILLE,26447.57,49258.38,POINT (-82.550039 35.59588900000001)
DELRAY MEDICAL CENTER,FL,DELRAY BEACH,15161.84,14181.89,POINT (-80.073107 26.461634)
CAPE COD EMERGENCY ASS,MA,HARWICH,431.00,0,POINT (-70.072808 41.686279000000006)
UNITED HOSPITAL SYSTEM,WI,KENOSHA,0,72.24,POINT (-87.822877 42.588079)
MEMORIAL HOSPITAL OF T,FL,TAMPA,3893.96,571.56,POINT (-82.458776 27.947423)
STEPHEN F AUSTIN,TX,FREEPORT,0,3826.91,POINT (-95.358504 28.953725000000002)
WINCHESTER HOSPITAL,MA,WINCHESTER,9608.67,2542.10,POINT (-71.133759 42.45315800000001)
UNIVERSITY PROFESSIONA,OR,HILLSBORO,0,77.98,POINT (-122.989739 45.52395)
FAIRVIEW LIFELINE,MN,MINNEAPOLIS,0,99.86,POINT (-93.264346 44.977479)
AUSTIN REGIONAL CLINIC,TX,GEORGETOWN,105.07,0,POINT (-97.676978 30.633249999999997)
PATIENT FIRST,VA,STAFFORD,46.13,0,POINT (-77.408195 38.422037)
ST LUKES PHYSICIAN GRO,PA,EASTON,43.35,231.20,POINT (-75.216698 40.689353)
SHERIDAN EMERGENCY PHY,LA,BATON ROUGE,4636.03,1947.89,POINT (-91.187488 30.443319000000002)
PRIMECARE COMMUNITY HE,IL,CHICAGO,4236.43,6301.63,POINT (-87.632398 41.88322900000001)
EAST MORGAN COMMUNITY,CO,BRUSH,4971.18,6266.73,POINT (-103.621751 40.255356)
LAVENDER HEALTH CARE O,FL,SARASOTA,21856.39,222.10,POINT (-82.538602 27.336483)
NORTH BREVARD MEDICAL,FL,COCOA,105.00,0,POINT (-80.7326 28.357717)
CITRUS VALLEY MEDICAL,CA,WEST COVINA,8473.52,7499.13,POINT (-117.938239 34.068896)
SALEM HEALTH,OR,SALEM,0,17462.86,POINT (-123.039307 44.939016)
WILLIAMS MEDICAL GROUP,KS,ANDOVER,21762.79,3599.48,POINT (-97.13521 37.690458)
MISSOURI HIGHLANDS HEA,MO,NAYLOR,103.50,0,POINT (-90.611413 36.574764)
INTEGRATED EMERGENCY M,FL,NAPLES,28250.35,2509.52,POINT (-81.795483 26.147369)
AHS HOSPITAL CORP,NJ,MORRISTOWN,40725.21,1066675.99,POINT (-74.481595 40.79664)
WINDSOR HOSPITAL CORPO,VT,WINDSOR,493.45,235.90,POINT (-72.386431 43.479991)
